time/total_timesteps,eval/mean_reward,train/n_updates,train/ent_coef_loss,train/learning_rate,train/actor_loss,eval/mean_ep_length,train/ent_coef,train/critic_loss,rollout/ep_len_mean,time/fps,time/episodes,rollout/ep_rew_mean,time/time_elapsed
126070,,125969,1.1027997732162476,0.0001965450924118268,1.2315874099731445,,0.006844648160040379,0.3561173677444458,972.8,54,180,-58.65427440000001,2305
127000,154.1337262,126899,-0.018484950065612793,0.0001965450924118268,-0.33842942118644714,1600.0,0.006695088464766741,0.28260308504104614,,,,,
128000,249.45374080000002,127899,-0.14310294389724731,0.0001965450924118268,-0.41227561235427856,1526.0,0.006947643589228392,0.35504546761512756,,,,,
129000,272.6447286,128899,-1.8310317993164062,0.0001965450924118268,-0.8233748078346252,1368.8,0.006872040219604969,0.6450878977775574,,,,,
130000,264.64222459999996,129899,0.11876583099365234,0.0001965450924118268,-1.489450216293335,1562.6,0.007159655913710594,0.3185567855834961,,,,,
130334,,130233,-1.2278368473052979,0.0001965450924118268,-2.6234426498413086,,0.007083474192768335,0.2954378128051758,1011.43,54,184,-50.80240626999999,2384
131000,123.7825184,130899,1.9801907539367676,0.0001965450924118268,-1.53782057762146,1110.0,0.007416949607431889,0.649734616279602,,,,,
132000,103.1369512,131899,-0.24298697710037231,0.0001965450924118268,-1.790897011756897,767.4,0.00751222250983119,0.739875078201294,,,,,
133000,-22.651579400000013,132899,-1.549139142036438,0.0001965450924118268,-2.7230224609375,309.8,0.007806913927197456,0.5588733553886414,,,,,
133626,,133525,2.707367420196533,0.0001965450924118268,-3.2007226943969727,,0.007923546247184277,0.5016285181045532,1019.08,54,188,-43.087073130000014,2434
134000,275.3574254,133899,-0.30472251772880554,0.0001965450924118268,-3.6108438968658447,1286.4,0.008067216724157333,0.549676775932312,,,,,
135000,207.42314420000002,134899,-1.4172067642211914,0.0001965450924118268,-3.555433988571167,1055.6,0.007898686453700066,0.449480265378952,,,,,
136000,-24.076197999999998,135899,0.5490623712539673,0.0001965450924118268,-2.4499402046203613,386.0,0.007831230759620667,0.5555872917175293,,,,,
137000,177.30760199999997,136899,2.3223729133605957,0.0001965450924118268,-3.9583611488342285,881.0,0.008212837390601635,0.6317778825759888,,,,,
138000,269.3335432,137899,-0.6991283893585205,0.0001965450924118268,-4.533876419067383,1529.2,0.008317925967276096,0.5559738278388977,,,,,
138837,,138736,0.4954776465892792,0.0001965450924118268,-5.513494491577148,,0.008117832243442535,0.5615578889846802,1035.41,54,192,-27.8493275,2526
139000,251.5202088,138899,0.6193479895591736,0.0001965450924118268,-6.244590759277344,1029.6,0.008243181742727757,0.5655373930931091,,,,,
